URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/medicationrequest-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1324",medicationRequest Status Reason Codes,Medication request  status  reason  codes,"MedicationRequest Status Reason Codes","StructureDefinition/senologie-geplante-systemtherapie","THO"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/senologie-checkliste-erbliche-belastung,StructureDefinition/senologie-operative-komplikation,StructureDefinition/senologie-follow-up,StructureDefinition/senologie-bildgebung-observation,StructureDefinition/senologie-genexpressions-score,StructureDefinition/senologie-klinische-untersuchung,StructureDefinition/senologie-gynaekologische-anamnese,StructureDefinition/senologie-ki67-proliferationsindex,StructureDefinition/senologie-somatische-mutation,StructureDefinition/senologie-pdl1-status","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/senologie-checkliste-erbliche-belastung,StructureDefinition/senologie-operative-komplikation,StructureDefinition/senologie-follow-up,StructureDefinition/senologie-bildgebung-observation,StructureDefinition/senologie-genexpressions-score,StructureDefinition/senologie-klinische-untersuchung,StructureDefinition/senologie-gynaekologische-anamnese,StructureDefinition/senologie-ki67-proliferationsindex,StructureDefinition/senologie-somatische-mutation,StructureDefinition/senologie-pdl1-status","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/senologie-checkliste-erbliche-belastung,StructureDefinition/senologie-operative-komplikation,StructureDefinition/senologie-follow-up,StructureDefinition/senologie-bildgebung-observation,StructureDefinition/senologie-genexpressions-score,StructureDefinition/senologie-klinische-untersuchung,StructureDefinition/senologie-gynaekologische-anamnese,StructureDefinition/senologie-ki67-proliferationsindex,StructureDefinition/senologie-somatische-mutation,StructureDefinition/senologie-pdl1-status","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/senologie-checkliste-erbliche-belastung,StructureDefinition/senologie-operative-komplikation,StructureDefinition/senologie-follow-up,StructureDefinition/senologie-bildgebung-observation,StructureDefinition/senologie-genexpressions-score,StructureDefinition/senologie-klinische-untersuchung,StructureDefinition/senologie-gynaekologische-anamnese,StructureDefinition/senologie-ki67-proliferationsindex,StructureDefinition/senologie-pdl1-status","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/senologie-genexpressionstest,StructureDefinition/senologie-checkliste-erbliche-belastung,StructureDefinition/senologie-operative-komplikation,StructureDefinition/senologie-follow-up,StructureDefinition/senologie-bildgebung-observation,StructureDefinition/senologie-genexpressions-score,StructureDefinition/senologie-klinische-untersuchung,StructureDefinition/senologie-gynaekologische-anamnese,StructureDefinition/senologie-ki67-proliferationsindex,StructureDefinition/senologie-somatische-mutation,StructureDefinition/senologie-pdl1-status","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/participant-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.152",ParticipantRoles,Participant Roles,"Roles of participants that may be included in a care team.  Defined as: Is a Person, Healthcare professional (occupation) or Healthcare related organization (qualifier value).","StructureDefinition/senologie-op-planung","SCT"
http://hl7.org/fhir/ValueSet/performer-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.433",ProcedurePerformerRoleCodes,Procedure Performer Role Codes,"This example value set defines the set of codes that can be used to indicate a role of a procedure performer.","StructureDefinition/senologie-psychoonkologie,StructureDefinition/senologie-operation,StructureDefinition/senologie-systemtherapie-procedure,StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-strahlentherapie,StructureDefinition/senologie-sozialdienst","SCT"
http://hl7.org/fhir/ValueSet/procedure-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.430",ProcedureCategoryCodes(SNOMEDCT),Procedure Category Codes (SNOMED CT),"Procedure Category code: A selection of relevant SNOMED CT codes.","StructureDefinition/senologie-psychoonkologie,StructureDefinition/senologie-systemtherapie-procedure,StructureDefinition/senologie-strahlentherapie,StructureDefinition/senologie-sozialdienst","SCT"
http://hl7.org/fhir/ValueSet/procedure-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.427",ProcedureCodes(SNOMEDCT),Procedure Codes (SNOMED CT),"Procedure Code: All SNOMED CT procedure codes.","StructureDefinition/senologie-psychoonkologie,StructureDefinition/senologie-operation,StructureDefinition/senologie-systemtherapie-procedure,StructureDefinition/senologie-tumorboard-empfehlung,StructureDefinition/senologie-sozialdienst,StructureDefinition/senologie-op-planung","SCT"
